DP_ID,DP_name,Delivery Partner,,,,
DV_61000053,Shivani Dube,Blue Dart,,,, 
DV_61000054,Zarna Karpe,Shadowfax,,,, 
DV_61000055,Hemang Sani,Blue Dart,,,, 
DV_61000056,Samuel Lad,Blue Dart,,,, 
DV_61000057,Ganga Dyal,Shadowfax,,,, 
DV_61000058,Kalpit Joshi,Blue Dart,,,, 
DV_61000059,Jagvi Bakshi,Xpressbees,,,, 
DV_61000060,Ikshita Comar,Blue Dart,,,, 
DV_61000061,Nikita Oak,Delhivery,,,, 
DV_61000062,Nidhi Goda,Blue Dart,,,, 
DV_61000063,Ishanvi Varma,Shadowfax,,,, 
DV_61000064,Brinda Gokhale,Delhivery,,,, 
DV_61000065,Samaksh Chhabra,Delhivery,,,, 
DV_61000066,Upasna Pandit,Delhivery,,,, 
DV_61000067,Chanchal Ramesh,Delhivery,,,, 
DV_61000068,Jyoti Dayal,Shadowfax,,,, 
DV_61000069,Ekta Narasimhan,Xpressbees,,,, 
DV_61000070,Indrajit Kashyap,Delhivery,,,, 
DV_61000071,Nakul Sha,Xpressbees,,,, 
DV_61000072,Daksha Lala,Xpressbees,,,, 
DV_61000073,Frado Nayar,Xpressbees,,,, 
DV_61000074,Yochana Singh,Xpressbees,,,, 
DV_61000075,Sarthak Varghese,Blue Dart,,,, 
DV_61000076,Bhavya Sampath,Delhivery,,,, 
DV_61000077,Alka Issac,Xpressbees,,,, 
DV_61000078,Triya Nagarajan,Shadowfax,,,, 
DV_61000079,Saanvi Zacharia,Shadowfax,,,, 
DV_61000080,Gautami Lalla,Xpressbees,,,, 
DV_61000081,Pallavi Golla,Xpressbees,,,, 
DV_61000082,Unnati Dhaliwal,Blue Dart,,,, 
DV_61000083,Jai Doctor,Ecom Express,,,, 
DV_61000084,Hiral Wadhwa,Ecom Express,,,, 
DV_61000085,Nihal Sarraf,Shadowfax,,,, 
DV_61000086,Turvi Atwal,Xpressbees,,,, 
DV_61000087,Yashawini Chander,Ecom Express,,,, 
DV_61000088,Oviya Sant,Xpressbees,,,, 
DV_61000089,Yagnesh Chaudhari,Shadowfax,,,, 
DV_61000090,Hema Maharaj,Ecom Express,,,, 
DV_61000091,Anjali Narain,Xpressbees,,,, 
DV_61000092,Nathan Palla,Xpressbees,,,, 
DV_61000093,Vasana Ganesan,Xpressbees,,,, 
DV_61000094,Raksha Bedi,Xpressbees,,,, 
DV_61000095,Ridhi Kapadia,Xpressbees,,,, 
DV_61000096,Charles Setty,Xpressbees,,,, 
DV_61000097,Vanya Shanker,Xpressbees,,,, 
DV_61000098,Yadavi Narayan,Delhivery,,,, 
DV_61000099,Ubika Swaminathan,Shadowfax,,,, 
DV_61000100,Tristan Walia,Xpressbees,,,, 
DV_61000101,Amaira Rajagopalan,Ecom Express,,,, 
DV_61000102,Owen Borde,Shadowfax,,,, 
DV_61000103,Jalsa Suresh,Xpressbees,,,, 
DV_61000104,Ubika Dayal,Ecom Express,,,, 
DV_61000105,Kevin Wagle,Blue Dart,,,, 
DV_61000106,Shivansh Raghavan,Ecom Express,,,, 
DV_61000107,Yashoda Radhakrishnan,Ecom Express,,,, 
DV_61000108,Ishaan Prakash,Ecom Express,,,, 
DV_61000109,Bhavya Lala,Shadowfax,,,, 
DV_61000110,Nathaniel Baral,Xpressbees,,,, 
DV_61000111,Sai Ahuja,Shadowfax,,,, 
DV_61000112,Damini Majumdar,Shadowfax,,,, 
DV_61000113,Lipika Kaul,Blue Dart,,,, 
DV_61000114,Ekantika Sarraf,Shadowfax,,,, 
DV_61000115,Kavya Palla,Delhivery,,,, 
DV_61000116,Siya Magar,Shadowfax,,,, 
DV_61000117,Vihaan Keer,Delhivery,,,, 
DV_61000118,Falguni Bali,Xpressbees,,,, 
DV_61000119,Siddharth Hans,Xpressbees,,,, 
DV_61000120,Vinaya Basu,Ecom Express,,,, 
DV_61000121,Adweta Pandya,Xpressbees,,,, 
DV_61000122,Ubika Narain,Xpressbees,,,, 
DV_61000123,Chatura Kota,Ecom Express,,,, 
DV_61000124,Chaitanya Sampath,Delhivery,,,, 
DV_61000125,Hamsini Bath,Xpressbees,,,, 
DV_61000126,Rachit Narasimhan,Xpressbees,,,, 
DV_61000127,Yashawini Lall,Xpressbees,,,, 
DV_61000128,Dayamai Saha,Xpressbees,,,, 
DV_61000129,Falguni Kala,Xpressbees,,,, 
DV_61000130,Gabriel Bala,Blue Dart,,,, 
DV_61000131,Lavanya Suri,Delhivery,,,, 
DV_61000132,Daksha Suri,Delhivery,,,, 
DV_61000133,Ekaja Ratta,Ecom Express,,,, 
DV_61000134,Urvashi Grewal,Shadowfax,,,, 
DV_61000135,Leela Kapur,Xpressbees,,,, 
DV_61000136,Hamsini Bansal,Ecom Express,,,, 
DV_61000137,Nisha Dubey,Shadowfax,,,, 
DV_61000138,Lopa Raju,Blue Dart,,,, 
DV_61000139,Kala Ramakrishnan,Ecom Express,,,, 
DV_61000140,Kashvi Bhatia,Ecom Express,,,, 
DV_61000141,Ekaja Misra,Blue Dart,,,, 
DV_61000142,Atharv Garg,Delhivery,,,, 
DV_61000143,Benjamin Malhotra,Xpressbees,,,, 
DV_61000144,Azad Chaudhry,Xpressbees,,,, 
DV_61000145,Aishani Thakkar,Delhivery,,,, 
DV_61000146,Bhavika Lalla,Ecom Express,,,, 
DV_61000147,Advaith Dubey,Delhivery,,,, 
DV_61000148,Brinda Peri,Delhivery,,,, 
DV_61000149,Kritika Menon,Xpressbees,,,, 
DV_61000150,Ekbal Dua,Shadowfax,,,, 
DV_61000151,Benjamin Talwar,Delhivery,,,, 
DV_61000152,Girik Khalsa,Ecom Express,,,, 
DV_61000153,Anirudh Dara,Blue Dart,,,, 
DV_61000154,Dipta Zacharia,Delhivery,,,, 
DV_61000155,Raagini Barad,Shadowfax,,,, 
DV_61000156,Ekaraj Chandra,Delhivery,,,, 
DV_61000157,Dominic Bir,Delhivery,,,, 
DV_61000158,Vrishti Sodhi,Xpressbees,,,, 
DV_61000159,Radha Bhavsar,Ecom Express,,,, 
DV_61000160,Nathaniel Banik,Blue Dart,,,, 
DV_61000161,Lakshmi Jha,Shadowfax,,,, 
DV_61000162,Unnati Nath,Xpressbees,,,, 
DV_61000163,Kamala Bahri,Ecom Express,,,, 
DV_61000164,Champak Srinivasan,Shadowfax,,,, 
DV_61000165,Dalbir Nigam,Ecom Express,,,, 
DV_61000166,Chakradhar Sethi,Blue Dart,,,, 
DV_61000167,Irya Nair,Shadowfax,,,, 
DV_61000168,Amaira Natt,Blue Dart,,,, 
DV_61000169,Yasti Gopal,Ecom Express,,,, 
DV_61000170,Indali Walla,Xpressbees,,,, 
DV_61000171,Warhi Goda,Blue Dart,,,, 
DV_61000172,Yashawini Prakash,Shadowfax,,,, 
DV_61000173,Abhiram Pandey,Shadowfax,,,, 
DV_61000174,Adweta Andra,Shadowfax,,,, 
DV_61000175,Parth Khanna,Ecom Express,,,, 
DV_61000176,Samuel Modi,Xpressbees,,,, 
DV_61000177,Mohini Dada,Shadowfax,,,, 
DV_61000178,Kala Dhillon,Delhivery,,,, 
DV_61000179,Ekapad Tiwari,Shadowfax,,,, 
DV_61000180,Leena Mishra,Ecom Express,,,, 
DV_61000181,Simon Dhillon,Delhivery,,,, 
DV_61000182,Bhanumati Bahri,Ecom Express,,,, 
DV_61000183,Jalsa Khatri,Delhivery,,,, 
DV_61000184,Megha Sehgal,Shadowfax,,,, 
DV_61000185,Harsh Lad,Xpressbees,,,, 
DV_61000186,Harsh Jani,Ecom Express,,,, 
DV_61000187,Fariq Uppal,Ecom Express,,,, 
DV_61000188,Vrishti Raghavan,Blue Dart,,,, 
DV_61000189,Lakshmi Gill,Shadowfax,,,, 
DV_61000190,Odika Bora,Ecom Express,,,, 
DV_61000191,Ganga Pathak,Delhivery,,,, 
DV_61000192,Omya Mangat,Xpressbees,,,, 
DV_61000193,Oliver Dewan,Xpressbees,,,, 
DV_61000194,Chatura Warrior,Ecom Express,,,, 
DV_61000195,Jackson Deshpande,Delhivery,,,, 
DV_61000196,Devansh Chaudhry,Xpressbees,,,, 
DV_61000197,Kabir Wadhwa,Xpressbees,,,, 
DV_61000198,Aarav Cheema,Delhivery,,,, 
DV_61000199,Keya Bhattacharyya,Xpressbees,,,, 
DV_61000200,Zarna Talwar,Delhivery,,,, 
DV_61000201,Ekavir Sahni,Ecom Express,,,, 
DV_61000202,Aarush Amble,Ecom Express,,,, 
DV_61000203,Jagvi Chaudhary,Shadowfax,,,, 
DV_61000204,Bhanumati Ratta,Shadowfax,,,, 
DV_61000205,Nandini Raghavan,Delhivery,,,, 
DV_61000206,Jagrati Chadha,Xpressbees,,,, 
DV_61000207,Jalsa Mallick,Blue Dart,,,, 
DV_61000208,Onkar Memon,Xpressbees,,,, 
DV_61000209,Jack Chhabra,Delhivery,,,, 
DV_61000210,Madhav Sengupta,Blue Dart,,,, 
DV_61000211,Jatin Kara,Ecom Express,,,, 
DV_61000212,Jack Vasa,Ecom Express,,,, 
DV_61000213,Michael Nigam,Xpressbees,,,, 
DV_61000214,Lila Solanki,Xpressbees,,,, 
DV_61000215,Nidra Grover,Ecom Express,,,, 
DV_61000216,Chaitaly Bajaj,Ecom Express,,,, 
DV_61000217,Theodore Parmer,Delhivery,,,, 
DV_61000218,Udarsh Majumdar,Blue Dart,,,, 
DV_61000219,Aashi Walia,Ecom Express,,,, 
DV_61000220,Rajata Prakash,Delhivery,,,, 
DV_61000221,Aishani Khosla,Shadowfax,,,, 
DV_61000222,Azad Sawhney,Delhivery,,,, 
DV_61000223,Jalsa Hari,Xpressbees,,,, 
DV_61000224,Wahab Chauhan,Delhivery,,,, 
DV_61000225,Nachiket Kalla,Blue Dart,,,, 
DV_61000226,Kala Srivastava,Ecom Express,,,, 
DV_61000227,Warhi Dani,Blue Dart,,,, 
DV_61000228,Ladli Koshy,Blue Dart,,,, 
DV_61000229,Unnati Mitter,Xpressbees,,,, 
DV_61000230,Yashodhara Choudhury,Shadowfax,,,, 
DV_61000231,Nidra Dar,Xpressbees,,,, 
DV_61000232,Isaiah Basak,Xpressbees,,,, 
DV_61000233,Andrew Ramesh,Shadowfax,,,, 
DV_61000234,Amol Boase,Xpressbees,,,, 
DV_61000235,Ishwar Gopal,Shadowfax,,,, 
DV_61000236,Ekta Sen,Ecom Express,,,, 
DV_61000237,Kamya Raval,Delhivery,,,, 
DV_61000238,Sathvik Chopra,Delhivery,,,, 
DV_61000239,Chaitaly Vyas,Xpressbees,,,, 
DV_61000240,Wazir Jhaveri,Shadowfax,,,, 
DV_61000241,Edhitha Lanka,Xpressbees,,,, 
DV_61000242,Tristan Kar,Xpressbees,,,, 
DV_61000243,Maanav Sahota,Xpressbees,,,, 
DV_61000244,Rachita Tara,Delhivery,,,, 
DV_61000245,Hemang Patla,Blue Dart,,,, 
DV_61000246,Oviya Raj,Ecom Express,,,, 
DV_61000247,Ekalinga Bora,Blue Dart,,,, 
DV_61000248,Vinaya Setty,Shadowfax,,,, 
DV_61000249,Sneha Pall,Shadowfax,,,, 
DV_61000250,Harita Nayar,Shadowfax,,,, 
DV_61000251,Urmi Mand,Delhivery,,,, 
DV_61000252,Chatresh Shenoy,Blue Dart,,,, 
DV_61000253,Irya Bahl,Delhivery,,,, 
DV_61000254,Darsh Saini,Ecom Express,,,, 
DV_61000255,Wridesh Guha,Ecom Express,,,, 
DV_61000256,Zansi Bava,Delhivery,,,, 
DV_61000257,Yashawini Bains,Blue Dart,,,, 
DV_61000258,Lakshmi Sidhu,Blue Dart,,,, 
DV_61000259,Janya Master,Xpressbees,,,, 
DV_61000260,Balhaar Ram,Shadowfax,,,, 
DV_61000261,Ryan Vora,Shadowfax,,,, 
DV_61000262,Deepa Salvi,Delhivery,,,, 
DV_61000263,Nimrat Vyas,Delhivery,,,, 
DV_61000264,Jasmit Wali,Shadowfax,,,, 
DV_61000265,Chandani Jain,Xpressbees,,,, 
DV_61000266,Nilima Zacharia,Blue Dart,,,, 
DV_61000267,Naveen Batra,Xpressbees,,,, 
DV_61000268,Gagan Bhatti,Blue Dart,,,, 
DV_61000269,Rajeshri Bhat,Ecom Express,,,, 
DV_61000270,Ladli Sha,Ecom Express,,,, 
DV_61000271,Kevin Pradhan,Delhivery,,,, 
DV_61000272,Eshana Char,Delhivery,,,, 
DV_61000273,Vrinda Buch,Shadowfax,,,, 
DV_61000274,Praneel Sathe,Shadowfax,,,, 
DV_61000275,Veer Savant,Shadowfax,,,, 
DV_61000276,Leela Murty,Blue Dart,,,, 
DV_61000277,Upkaar Goswami,Blue Dart,,,, 
DV_61000278,Zashil Rajagopalan,Ecom Express,,,, 
DV_61000279,Yatan Balan,Xpressbees,,,, 
DV_61000280,Isha Nagarajan,Xpressbees,,,, 
DV_61000281,Wriddhish Maharaj,Blue Dart,,,, 
DV_61000282,Brijesh Narasimhan,Shadowfax,,,, 
DV_61000283,Amruta Kaul,Delhivery,,,, 
DV_61000284,Kevin Rout,Delhivery,,,, 
DV_61000285,Meghana Aurora,Ecom Express,,,, 
DV_61000286,Bhavya Acharya,Delhivery,,,, 
DV_61000287,Noah Batta,Ecom Express,,,, 
DV_61000288,Upadhriti Sagar,Ecom Express,,,, 
DV_61000289,Theodore Soman,Xpressbees,,,, 
DV_61000290,Orinder Kohli,Delhivery,,,, 
DV_61000291,Agastya Bahri,Blue Dart,,,, 
DV_61000292,Aarini Peri,Shadowfax,,,, 
DV_61000293,Hredhaan Sanghvi,Blue Dart,,,, 
DV_61000294,Yashawini Chowdhury,Blue Dart,,,, 
DV_61000295,Ansh Tripathi,Ecom Express,,,, 
DV_61000296,Vedika Som,Shadowfax,,,, 
DV_61000297,Azad Mukherjee,Xpressbees,,,, 
DV_61000298,Chanchal Mitra,Shadowfax,,,, 
DV_61000299,Utkarsh Bahri,Shadowfax,,,, 
DV_61000300,Mahika Kurian,Delhivery,,,, 
DV_61000301,Christopher Sant,Shadowfax,,,, 
DV_61000302,Girish Sampath,Delhivery,,,, 
DV_61000303,Ikbal Pal,Blue Dart,,,, 
DV_61000304,Nitesh Mahal,Ecom Express,,,, 
DV_61000305,Gunbir Parekh,Xpressbees,,,, 
DV_61000306,Faris Dar,Ecom Express,,,, 
DV_61000307,Vivaan Buch,Xpressbees,,,, 
DV_61000308,Omaja Padmanabhan,Shadowfax,,,, 
DV_61000309,Upasna Sarna,Delhivery,,,, 
DV_61000310,Unnati Goda,Blue Dart,,,, 
DV_61000311,Warjas Bala,Shadowfax,,,, 
DV_61000312,Meghana Ratta,Ecom Express,,,, 
DV_61000313,Kabir Chahal,Ecom Express,,,, 
DV_61000314,Madhavi Chaudhry,Blue Dart,,,, 
DV_61000315,Timothy Parmar,Shadowfax,,,, 
DV_61000316,Watika Bir,Delhivery,,,, 
DV_61000317,Chakrika Dave,Blue Dart,,,, 
DV_61000318,Chanakya Gopal,Xpressbees,,,, 
DV_61000319,Nandini Choudhary,Shadowfax,,,, 
DV_61000320,Vasana Dutt,Shadowfax,,,, 
DV_61000321,Chanakya Dube,Xpressbees,,,, 
DV_61000322,Leela Gola,Shadowfax,,,, 
DV_61000323,Harini Lal,Delhivery,,,, 
DV_61000324,Gaurang Iyer,Delhivery,,,, 
DV_61000325,Bina Shere,Delhivery,,,, 
DV_61000326,Ekani Rege,Shadowfax,,,, 
DV_61000327,Omaja Peri,Blue Dart,,,, 
DV_61000328,Anmol Seth,Blue Dart,,,, 
DV_61000329,Samesh Saran,Shadowfax,,,, 
DV_61000330,Viraj Chakrabarti,Blue Dart,,,, 
DV_61000331,Jagrati Master,Delhivery,,,, 
DV_61000332,Pahal Kumer,Blue Dart,,,, 
DV_61000333,Chameli Kale,Xpressbees,,,, 
DV_61000334,Wazir Kalita,Ecom Express,,,, 
DV_61000335,Gopal Jani,Delhivery,,,, 
DV_61000336,Arunima Buch,Blue Dart,,,, 
DV_61000337,Krishna Doctor,Ecom Express,,,, 
DV_61000338,Anya Nadkarni,Xpressbees,,,, 
DV_61000339,Nathan Soni,Blue Dart,,,, 
DV_61000340,Avi Dass,Xpressbees,,,, 
DV_61000341,Charvi Bumb,Blue Dart,,,, 
DV_61000342,Aahana Dua,Shadowfax,,,, 
DV_61000343,Vritti Chandran,Ecom Express,,,, 
DV_61000344,Wriddhish Kurian,Blue Dart,,,, 
DV_61000345,Quincy Wable,Blue Dart,,,, 
DV_61000346,Mekhala Merchant,Shadowfax,,,, 
DV_61000347,Wakeeta Rajagopalan,Ecom Express,,,, 
DV_61000348,Yash Parikh,Blue Dart,,,, 
DV_61000349,Radhika Dhar,Xpressbees,,,, 
DV_61000350,Viraj Hora,Delhivery,,,, 
DV_61000351,Jagat Dayal,Xpressbees,,,, 
DV_61000352,Darika Bawa,Blue Dart,,,, 
DV_61000353,Deepa Oak,Shadowfax,,,, 
DV_61000354,Tamanna Dasgupta,Delhivery,,,, 
DV_61000355,Chavvi Narang,Delhivery,,,, 
DV_61000356,Nirja Wali,Blue Dart,,,, 
DV_61000357,Ekalinga Mitter,Shadowfax,,,, 
DV_61000358,Aadhya Singhal,Delhivery,,,, 
DV_61000359,Ranveer Cheema,Ecom Express,,,, 
DV_61000360,Vritti Deshpande,Blue Dart,,,, 
DV_61000361,Rajeshri Kamdar,Xpressbees,,,, 
DV_61000362,Mugdha Sethi,Ecom Express,,,, 
DV_61000363,Gagan Pandit,Xpressbees,,,, 
DV_61000364,Sanya Sampath,Blue Dart,,,, 
DV_61000365,Sai Bhatti,Xpressbees,,,, 
DV_61000366,Jackson Gulati,Delhivery,,,, 
DV_61000367,Gaurav Gaba,Delhivery,,,, 
DV_61000368,Nakul Chaudhary,Shadowfax,,,, 
DV_61000369,Kevin Khanna,Delhivery,,,, 
DV_61000370,Matthew Chauhan,Shadowfax,,,, 
DV_61000371,Kala Sandhu,Xpressbees,,,, 
DV_61000372,Pranav Hans,Ecom Express,,,, 
DV_61000373,Pavani Ramesh,Xpressbees,,,, 
DV_61000374,Deepa Balan,Delhivery,,,, 
DV_61000375,Siya Rajan,Ecom Express,,,, 
DV_61000376,Nachiket Ray,Blue Dart,,,, 
DV_61000377,Jyoti Dube,Blue Dart,,,, 
DV_61000378,Ekantika Raju,Xpressbees,,,, 
DV_61000379,Tejas Contractor,Ecom Express,,,, 
DV_61000380,Isha Gole,Shadowfax,,,, 
DV_61000381,Ekaja Bora,Ecom Express,,,, 
DV_61000382,Mahika Karpe,Delhivery,,,, 
DV_61000383,Ojas Dass,Blue Dart,,,, 
DV_61000384,Dalbir Yohannan,Shadowfax,,,, 
DV_61000385,Krishna Dugar,Xpressbees,,,, 
DV_61000386,Radhika Kibe,Delhivery,,,, 
DV_61000387,Siddharth Brar,Blue Dart,,,, 
DV_61000388,Saanvi Ramanathan,Delhivery,,,, 
DV_61000389,Ganga Verma,Delhivery,,,, 
DV_61000390,Yagnesh Dewan,Shadowfax,,,, 
DV_61000391,Harsh Kohli,Blue Dart,,,, 
DV_61000392,Garima Sandal,Delhivery,,,, 
DV_61000393,Kabir Ramakrishnan,Delhivery,,,, 
DV_61000394,Dalbir Ratti,Shadowfax,,,, 
DV_61000395,Hemani De,Xpressbees,,,, 
DV_61000396,Farhan Dewan,Ecom Express,,,, 
DV_61000397,Varenya Nadkarni,Xpressbees,,,, 
DV_61000398,Ekaja Handa,Xpressbees,,,, 
DV_61000399,Sai Dora,Xpressbees,,,, 
DV_61000400,Eta Char,Shadowfax,,,, 
DV_61000401,Udyati Ramakrishnan,Shadowfax,,,, 
DV_61000402,Saksham Ray,Blue Dart,,,, 
DV_61000403,Dhruv Wagle,Xpressbees,,,, 
DV_61000404,Pratyush Chada,Xpressbees,,,, 
DV_61000405,Hitesh Palla,Blue Dart,,,, 
DV_61000406,Arunima Gaba,Shadowfax,,,, 
DV_61000407,Manya Sastry,Blue Dart,,,, 
DV_61000408,Nathan Tella,Xpressbees,,,, 
DV_61000409,Yashoda Bansal,Delhivery,,,, 
DV_61000410,Bahadurjit Parsa,Blue Dart,,,, 
DV_61000411,Jai Pillai,Delhivery,,,, 
DV_61000412,Urvi Munshi,Delhivery,,,, 
DV_61000413,Abhiram Chaudhary,Delhivery,,,, 
DV_61000414,Harshil Iyer,Ecom Express,,,, 
DV_61000415,Tejas Cheema,Blue Dart,,,, 
DV_61000416,Niharika Sur,Shadowfax,,,, 
DV_61000417,Advaith Kumar,Delhivery,,,, 
DV_61000418,Bina Kakar,Ecom Express,,,, 
DV_61000419,Ekansh Joshi,Xpressbees,,,, 
DV_61000420,Yahvi Vala,Xpressbees,,,, 
DV_61000421,Ojas Chana,Xpressbees,,,, 
DV_61000422,Anirudh Chad,Delhivery,,,, 
DV_61000423,Ekiya Bajwa,Shadowfax,,,, 
DV_61000424,Abhimanyu Kalla,Delhivery,,,, 
DV_61000425,Finn Sen,Delhivery,,,, 
DV_61000426,Vedant Prabhakar,Ecom Express,,,, 
DV_61000427,Max Palla,Shadowfax,,,, 
DV_61000428,Jonathan Oak,Xpressbees,,,, 
DV_61000429,Lekha Doshi,Blue Dart,,,, 
DV_61000430,Hamsini Wason,Blue Dart,,,, 
DV_61000431,Hemang Dave,Shadowfax,,,, 
DV_61000432,Max Bhakta,Delhivery,,,, 
DV_61000433,Maya Uppal,Shadowfax,,,, 
DV_61000434,Reyansh Mittal,Delhivery,,,, 
DV_61000435,Ayushman Naik,Xpressbees,,,, 
DV_61000436,Xalak Sane,Shadowfax,,,, 
DV_61000437,Gautam Pingle,Shadowfax,,,, 
DV_61000438,Sai Parekh,Ecom Express,,,, 
DV_61000439,Naveen Varty,Shadowfax,,,, 
DV_61000440,Dipta Keer,Delhivery,,,, 
DV_61000441,Ishanvi Edwin,Shadowfax,,,, 
DV_61000442,Ekaja Om,Blue Dart,,,, 
DV_61000443,Isaiah Munshi,Xpressbees,,,, 
DV_61000444,Max Narasimhan,Xpressbees,,,, 
DV_61000445,Yatin Dutta,Ecom Express,,,, 
DV_61000446,Hardik Tara,Delhivery,,,, 
DV_61000447,Ekaja Menon,Xpressbees,,,, 
DV_61000448,Gaurangi Natt,Delhivery,,,, 
DV_61000449,Aarini Bedi,Delhivery,,,, 
DV_61000450,Caleb Sinha,Shadowfax,,,, 
DV_61000451,Kavya Kannan,Shadowfax,,,, 
DV_61000452,Andrew Swaminathan,Ecom Express,,,, 
DV_61000453,Vritti Sani,Delhivery,,,, 
DV_61000454,Yatan Sami,Shadowfax,,,, 
DV_61000455,Eiravati Gole,Blue Dart,,,, 
DV_61000456,Aarnav Soni,Shadowfax,,,, 
DV_61000457,Ekiya Mohanty,Xpressbees,,,, 
DV_61000458,Yashawini Konda,Blue Dart,,,, 
DV_61000459,Faras Mohan,Blue Dart,,,, 
DV_61000460,Mohammed Wagle,Ecom Express,,,, 
DV_61000461,Vidhi Vyas,Delhivery,,,, 
DV_61000462,Vedhika Luthra,Delhivery,,,, 
DV_61000463,Veer Kari,Xpressbees,,,, 
DV_61000464,Falguni Rau,Delhivery,,,, 
DV_61000465,Krishna Char,Ecom Express,,,, 
DV_61000466,Vanya Bhardwaj,Shadowfax,,,, 
DV_61000467,Chandani Sawhney,Blue Dart,,,, 
DV_61000468,Ekanta Dara,Delhivery,,,, 
DV_61000469,Isaiah Tailor,Xpressbees,,,, 
DV_61000470,Ikshita Krishnan,Blue Dart,,,, 
DV_61000471,Vedant Dyal,Shadowfax,,,, 
DV_61000472,Yochana Shah,Shadowfax,,,, 
DV_61000473,Bimala Soman,Shadowfax,,,, 
DV_61000474,Gautam Baria,Blue Dart,,,, 
DV_61000475,Nikita Raju,Xpressbees,,,, 
DV_61000476,Samesh Basak,Shadowfax,,,, 
DV_61000477,Qarin Pau,Delhivery,,,, 
DV_61000478,Mitali Khatri,Delhivery,,,, 
DV_61000479,Leena Tak,Delhivery,,,, 
DV_61000480,Dominic Kanda,Xpressbees,,,, 
DV_61000481,Jagat Nadkarni,Xpressbees,,,, 
DV_61000482,Girik Nadig,Delhivery,,,, 
DV_61000483,Waida Sampath,Shadowfax,,,, 
DV_61000484,Wazir Sandhu,Delhivery,,,, 
DV_61000485,Amrita Anand,Xpressbees,,,, 
DV_61000486,Gavin Sundaram,Shadowfax,,,, 
DV_61000487,Chaman Naidu,Shadowfax,,,, 
DV_61000488,Qadim Cheema,Blue Dart,,,, 
DV_61000489,Rachit Basu,Xpressbees,,,, 
DV_61000490,Idika Kala,Shadowfax,,,, 
DV_61000491,Anvi Bhandari,Delhivery,,,, 
DV_61000492,Rachit Bala,Ecom Express,,,, 
DV_61000493,Jyoti Hayre,Xpressbees,,,, 
DV_61000494,Anamika Kala,Delhivery,,,, 
DV_61000495,Ridhi Kalla,Blue Dart,,,, 
DV_61000496,Yashvi Dayal,Shadowfax,,,, 
DV_61000497,Sathvik Loke,Xpressbees,,,, 
DV_61000498,Nitesh Virk,Shadowfax,,,, 
