C_ID,Name,Gender,Age ,City ,State ,Created_date
CS_11000089,Jagdish Gill,Female,42,Chennai,Tamil Nadu,26-02-2024
CS_11000090,Maanas Ben,Male,45,Udaipur,Rajasthan,25-04-2023
CS_11000091,Saumya Vaidya,Male,42,Aurangabad,Maharashtra,09-06-2023
CS_11000092,Balveer Goyal,Male,45,Faridabad,Haryana,14-04-2024
CS_11000093,Zinal Goyal,Female,57,Jabalpur,Madhya Pradesh,02-10-2023
CS_11000094,Oscar Borah,Female,60,Rajkot,Gujarat,20-03-2024
CS_11000095,Viraj Raman,Male,43,Kanpur,Uttar Pradesh,31-05-2023
CS_11000096,Deepa Arora,Female,18,Jabalpur,Madhya Pradesh,27-11-2023
CS_11000097,Vedika Loke,Female,61,Gaya,Bihar,05-01-2024
CS_11000098,Ekalinga Subramaniam,Female,47,Bokaro,Jharkhand,21-12-2024
CS_11000099,Yuvraj Mani,Male,29,Howrah,West Bengal,08-02-2025
CS_11000100,Timothy Dhar,Male,60,Agra,Uttar Pradesh,04-06-2023
CS_11000101,Vidhi Apte,Male,37,Karimnagar,Telangana,14-08-2024
CS_11000102,Yachana Dar,Male,52,Kolkata,West Bengal,23-11-2024
CS_11000103,Zaid Behl,Male,40,Nizamabad,Telangana,08-04-2023
CS_11000104,Indira Basu,Female,60,Hyderabad,Telangana,26-12-2023
CS_11000105,Qabil Boase,Male,42,Salem,Tamil Nadu,28-12-2024
CS_11000106,Panini Buch,Female,50,Korba,Chhattisgarh,15-12-2024
CS_11000107,Aarav Kanda,Female,32,Hyderabad,Telangana,08-12-2024
CS_11000108,Ojas Buch,Male,33,Bhubaneswar,Odisha,15-12-2023
CS_11000109,Gayathri Dutta,Female,69,Kota,Rajasthan,30-09-2023
CS_11000110,Agastya Mandal,Female,27,Durgapur,West Bengal,19-08-2023
CS_11000111,George Sane,Female,48,Guntur,Andhra Pradesh,27-12-2023
CS_11000112,Karan Baria,Male,54,Udaipur,Rajasthan,27-01-2024
CS_11000113,Dakshesh Pai,Male,33,Mysore,Karnataka,05-03-2024
CS_11000114,Bhavya Loke,Male,50,Belgaum,Karnataka,13-11-2023
CS_11000115,Zilmil Gopal,Male,59,Ludhiana,Punjab,09-11-2024
CS_11000116,Harshil Yogi,Male,55,Hubli,Karnataka,06-06-2024
CS_11000117,Pooja Ahuja,Female,66,Gwalior,Madhya Pradesh,12-07-2023
CS_11000118,Turvi Kaur,Male,52,Bhagalpur,Bihar,06-07-2023
CS_11000119,Libni Salvi,Male,34,Jalandhar,Punjab,15-07-2024
CS_11000120,Lopa Dash,Female,52,Durg,Chhattisgarh,08-07-2023
CS_11000121,Januja Hegde,Female,47,Ujjain,Madhya Pradesh,09-09-2024
CS_11000122,Simon Naidu,Female,57,Nellore,Andhra Pradesh,21-03-2023
CS_11000123,Bakhshi Desai,Male,43,Patna,Bihar,23-08-2024
CS_11000124,Rohan Manne,Female,34,Vijayawada,Andhra Pradesh,16-06-2023
CS_11000125,Jatin Chaudhry,Male,26,Kochi,Kerala,30-11-2024
CS_11000126,Odika Tank,Male,46,Siliguri,West Bengal,21-07-2023
CS_11000127,Kashvi Aggarwal,Male,70,Korba,Chhattisgarh,05-03-2024
CS_11000128,Aarna Varty,Female,55,Tezpur,Assam,14-11-2023
CS_11000129,Akshay Gandhi,Male,70,Kollam,Kerala,11-03-2023
CS_11000130,Jhalak Konda,Male,34,Mangalore,Karnataka,30-03-2024
CS_11000131,Harsh Agarwal,Female,26,Bhilai,Chhattisgarh,28-09-2024
CS_11000132,Jacob Sarraf,Male,18,Cuttack,Odisha,30-12-2024
CS_11000133,George Murty,Male,31,Guntur,Andhra Pradesh,24-05-2023
CS_11000134,Ati Kibe,Male,35,Nizamabad,Telangana,28-06-2023
CS_11000135,Finn Batra,Female,60,Chennai,Tamil Nadu,20-11-2024
CS_11000136,Yashodhara Cherian,Male,61,Balasore,Odisha,09-12-2023
CS_11000137,Ishanvi Narayanan,Female,28,Ranchi,Jharkhand,04-04-2024
CS_11000138,Dayamai Agrawal,Male,20,Kanpur,Uttar Pradesh,28-01-2024
CS_11000139,Vasana Mittal,Male,52,Guwahati,Assam,21-03-2024
CS_11000140,Brinda Walla,Male,65,Cuttack,Odisha,21-09-2023
CS_11000141,Triya Bhatt,Male,37,Warangal,Telangana,29-09-2024
CS_11000142,Unnati Sahni,Female,45,Coimbatore,Tamil Nadu,20-12-2024
CS_11000143,Vrishti Thakur,Female,51,Nellore,Andhra Pradesh,14-07-2023
CS_11000144,Charan Dani,Female,31,Korba,Chhattisgarh,21-05-2023
CS_11000145,Yashasvi Iyer,Male,31,Jamshedpur,Jharkhand,22-07-2023
CS_11000146,Yatan De,Female,55,Howrah,West Bengal,18-01-2024
CS_11000147,Isaac Panchal,Male,23,Tezpur,Assam,21-06-2023
CS_11000148,Tanish Majumdar,Female,27,Dhanbad,Jharkhand,27-08-2023
CS_11000149,Ishaan Saran,Female,22,Tezpur,Assam,17-07-2023
CS_11000150,Ishani Chhabra,Male,53,Kollam,Kerala,09-12-2023
CS_11000151,Anika Tata,Male,65,Gwalior,Madhya Pradesh,21-09-2024
CS_11000152,Lucky Panchal,Female,18,Gaya,Bihar,08-10-2023
CS_11000153,Zinal Cherian,Male,44,Surat,Gujarat,22-03-2023
CS_11000154,Ayaan Dhingra,Female,34,Indore,Madhya Pradesh,12-12-2024
CS_11000155,Pallavi Kara,Female,25,Silchar,Assam,11-12-2024
CS_11000156,Sudiksha Roy,Male,51,Ahmedabad,Gujarat,02-03-2024
CS_11000157,Nidhi Sagar,Male,47,Belgaum,Karnataka,28-01-2025
CS_11000158,Vedant Bahri,Female,33,Meerut,Uttar Pradesh,26-07-2023
CS_11000159,Veda Sampath,Male,23,Vijayawada,Andhra Pradesh,13-11-2023
CS_11000160,Aarna Lall,Male,37,Asansol,West Bengal,11-12-2024
CS_11000161,Zinal Talwar,Male,42,Warangal,Telangana,11-06-2024
CS_11000162,Qabil Jha,Male,41,Vijayawada,Andhra Pradesh,15-10-2023
CS_11000163,Aarini Murthy,Female,67,Ujjain,Madhya Pradesh,17-02-2024
CS_11000164,Qushi Saxena,Male,49,Nagpur,Maharashtra,13-09-2023
CS_11000165,Jack Borde,Female,69,Kota,Rajasthan,10-12-2024
CS_11000166,Anusha Krishna,Female,49,Bathinda,Punjab,07-02-2025
CS_11000167,Rachita Mani,Male,23,Kochi,Kerala,14-06-2023
CS_11000168,Lekha Karnik,Female,65,Aurangabad,Maharashtra,04-10-2024
CS_11000169,Hitesh Balay,Female,61,Ludhiana,Punjab,20-04-2023
CS_11000170,Faqid Bal,Male,18,Silchar,Assam,20-07-2023
CS_11000171,Yashica Dugar,Male,45,Surat,Gujarat,13-11-2024
CS_11000172,Mugdha Nayak,Male,64,Pune,Maharashtra,21-04-2023
CS_11000173,Manthan Bumb,Female,54,Raipur,Chhattisgarh,04-08-2024
CS_11000174,Zashil Vala,Male,31,Kota,Rajasthan,19-01-2025
CS_11000175,Sanaya Mannan,Female,46,Jaipur,Rajasthan,27-02-2025
CS_11000176,Lakshmi Sarkar,Male,62,Chennai,Tamil Nadu,21-10-2024
CS_11000177,Aashi Menon,Male,60,Bangalore,Karnataka,12-09-2023
CS_11000178,Thomas Soni,Male,70,Bhavnagar,Gujarat,25-06-2023
CS_11000179,Yashica Dass,Female,40,Raipur,Chhattisgarh,10-12-2024
CS_11000180,Bachittar Dash,Male,61,Ajmer,Rajasthan,20-07-2023
CS_11000181,Chakrika Magar,Male,36,Bhopal,Madhya Pradesh,11-04-2024
CS_11000182,Yuvraj Walia,Female,37,Panipat,Haryana,02-10-2024
CS_11000183,Pranav Dutta,Female,35,Ajmer,Rajasthan,28-03-2023
CS_11000184,Divya Saini,Male,24,Asansol,West Bengal,13-04-2024
CS_11000185,Ekta Grover,Female,23,Nellore,Andhra Pradesh,24-06-2023
CS_11000186,Irya Wali,Female,70,Jodhpur,Rajasthan,17-03-2024
CS_11000187,Nilima Gokhale,Female,68,Jalandhar,Punjab,14-04-2024
CS_11000188,Ekapad Kapur,Male,43,Jodhpur,Rajasthan,15-12-2023
CS_11000189,Nidhi Tak,Male,50,Hyderabad,Telangana,29-07-2023
CS_11000190,Vinaya Patil,Female,27,Guntur,Andhra Pradesh,17-06-2023
CS_11000191,Dev Deol,Male,70,Rajkot,Gujarat,07-09-2023
CS_11000192,Dominic Kapadia,Female,23,Dibrugarh,Assam,22-08-2023
CS_11000193,Garima Kumar,Male,19,Madurai,Tamil Nadu,21-02-2025
CS_11000194,Sarthak Shetty,Female,55,Faridabad,Haryana,17-11-2024
CS_11000195,Mahika Chauhan,Female,69,Tiruchirappalli,Tamil Nadu,10-01-2025
CS_11000196,Yashasvi Shankar,Male,40,Ludhiana,Punjab,09-09-2023
CS_11000197,Alka Chaudhuri,Female,54,Tezpur,Assam,24-02-2024
CS_11000198,Kevin Dugar,Male,65,Mumbai,Maharashtra,26-07-2023
CS_11000199,Yashvi Chaudhry,Male,25,Karnal,Haryana,25-09-2023
CS_11000200,Vamakshi Apte,Male,41,Guntur,Andhra Pradesh,01-12-2023
CS_11000201,Idika Sibal,Male,69,Gaya,Bihar,27-10-2023
CS_11000202,Yug Oza,Female,38,Howrah,West Bengal,16-09-2024
CS_11000203,Naksh Sur,Female,59,Muzaffarpur,Bihar,03-04-2023
CS_11000204,Manthan Sehgal,Male,49,Bhagalpur,Bihar,09-02-2025
CS_11000205,Patrick Kashyap,Male,22,Mysore,Karnataka,21-08-2023
CS_11000206,Jasmit Gera,Male,24,Bhilai,Chhattisgarh,15-06-2023
CS_11000207,Tripti Sandhu,Female,27,Ambala,Haryana,26-08-2023
CS_11000208,Neel More,Male,41,Balasore,Odisha,30-03-2024
CS_11000209,Qadim Ghosh,Male,46,Kota,Rajasthan,20-12-2024
CS_11000210,Teerth Andra,Female,36,Vijayawada,Andhra Pradesh,02-12-2023
CS_11000211,Gunbir Iyer,Female,64,Vadodara,Gujarat,15-03-2024
CS_11000212,Pallavi Kala,Female,63,Guntur,Andhra Pradesh,23-11-2024
CS_11000213,Lila Toor,Female,22,Sambalpur,Odisha,03-07-2023
CS_11000214,Bina Bahri,Male,20,Rourkela,Odisha,27-12-2024
CS_11000215,Jagvi Contractor,Female,25,Aurangabad,Maharashtra,26-12-2023
CS_11000216,Isaiah Dhar,Female,26,Khammam,Telangana,04-05-2024
CS_11000217,Jalsa Kade,Male,61,Lucknow,Uttar Pradesh,09-07-2023
CS_11000218,Advay Rai,Female,42,Visakhapatnam,Andhra Pradesh,15-09-2023
CS_11000219,Samar Baria,Female,66,Jorhat,Assam,11-09-2024
CS_11000220,Zashil Basak,Female,64,Ambala,Haryana,29-04-2023
CS_11000221,Vedhika Kothari,Female,32,Varanasi,Uttar Pradesh,01-05-2024
CS_11000222,Chaaya Krish,Female,33,Bhubaneswar,Odisha,23-02-2024
CS_11000223,Ekansh Narang,Male,32,Thiruvananthapuram,Kerala,01-01-2024
CS_11000224,Chaaya Kapoor,Female,38,Karnal,Haryana,03-06-2024
CS_11000225,Barkha Gole,Male,27,Nizamabad,Telangana,02-10-2024
CS_11000226,Zansi Ganguly,Female,51,Muzaffarpur,Bihar,05-04-2023
CS_11000227,Nandini Goel,Female,53,Ujjain,Madhya Pradesh,11-05-2023
CS_11000228,Jeremiah Rau,Male,32,Visakhapatnam,Andhra Pradesh,06-01-2025
CS_11000229,Logan Apte,Female,40,Surat,Gujarat,04-08-2023
CS_11000230,Vidhi Din,Male,18,Jaipur,Rajasthan,04-08-2023
CS_11000231,George Jha,Male,23,Jalandhar,Punjab,27-03-2023
CS_11000232,Mekhala Kohli,Female,66,Guwahati,Assam,03-11-2023
CS_11000233,Baljiwan Prabhakar,Male,64,Kota,Rajasthan,20-07-2024
CS_11000234,Aditya Mital,Male,27,Surat,Gujarat,15-05-2023
CS_11000235,Jatin Dixit,Male,36,Faridabad,Haryana,22-02-2024
CS_11000236,Aarnav Rama,Male,69,Karimnagar,Telangana,08-11-2024
CS_11000237,Aarnav Lal,Male,36,Kochi,Kerala,22-06-2023
CS_11000238,Isha Mahal,Female,31,Agra,Uttar Pradesh,10-10-2024
CS_11000239,Utkarsh Keer,Female,45,Visakhapatnam,Andhra Pradesh,17-06-2023
CS_11000240,Adweta Prabhakar,Female,65,Sambalpur,Odisha,30-05-2023
CS_11000241,Daksha Keer,Female,38,Nellore,Andhra Pradesh,14-09-2024
CS_11000242,Wriddhish Thakur,Female,62,Lucknow,Uttar Pradesh,01-02-2024
CS_11000243,Caleb Loyal,Male,48,Hyderabad,Telangana,04-11-2023
CS_11000244,Aarna Datta,Male,35,Karnal,Haryana,15-02-2025
CS_11000245,Krishna Mutti,Female,60,Kolkata,West Bengal,03-10-2023
CS_11000246,Kai Rama,Male,23,Rajkot,Gujarat,17-05-2023
CS_11000247,Ishani Kade,Female,40,Kochi,Kerala,08-07-2023
CS_11000248,Ekta Puri,Female,28,Aurangabad,Maharashtra,07-06-2023
CS_11000249,Eiravati Butala,Female,60,Madurai,Tamil Nadu,25-05-2024
CS_11000250,Arya Trivedi,Male,40,Vadodara,Gujarat,01-05-2023
CS_11000251,Zashil Khare,Male,48,Mumbai,Maharashtra,11-10-2023
CS_11000252,Anya Sen,Male,44,Gurgaon,Haryana,27-12-2023
CS_11000253,Atharv Palla,Female,36,Jamshedpur,Jharkhand,30-05-2024
CS_11000254,Ekbal Gill,Female,26,Lucknow,Uttar Pradesh,11-03-2024
CS_11000255,Mekhala Chada,Female,49,Durg,Chhattisgarh,11-05-2023
CS_11000256,Wyatt Morar,Female,36,Khammam,Telangana,08-03-2023
CS_11000257,Tanay Bhavsar,Male,64,Aurangabad,Maharashtra,05-06-2023
CS_11000258,Nisha Jaggi,Male,58,Warangal,Telangana,21-10-2023
CS_11000259,Priya Roy,Female,51,Thiruvananthapuram,Kerala,02-08-2024
CS_11000260,Daksh Sura,Female,60,Pune,Maharashtra,11-10-2024
CS_11000261,Logan Balakrishnan,Male,50,Raipur,Chhattisgarh,03-11-2024
CS_11000262,Waida Mandal,Male,54,Guwahati,Assam,22-03-2023
CS_11000263,Udarsh Gade,Female,52,Jodhpur,Rajasthan,02-06-2024
CS_11000264,Inaya Lanka,Male,44,Coimbatore,Tamil Nadu,27-04-2023
CS_11000265,Jeevika Mitra,Male,23,Panipat,Haryana,23-01-2025
CS_11000266,Mohammed Srivastava,Female,50,Mysore,Karnataka,05-02-2024
CS_11000267,Zansi Gara,Female,31,Vadodara,Gujarat,21-12-2024
CS_11000268,Isaac Kale,Male,66,Coimbatore,Tamil Nadu,04-07-2023
CS_11000269,Lopa Thakur,Female,22,Aurangabad,Maharashtra,22-05-2023
CS_11000270,Harini Majumdar,Male,46,Pune,Maharashtra,05-02-2025
CS_11000271,Lucky Manda,Female,40,Nellore,Andhra Pradesh,24-12-2024
CS_11000272,Fitan Dar,Male,21,Madurai,Tamil Nadu,19-01-2024
CS_11000273,Daksha Natarajan,Male,22,Jamshedpur,Jharkhand,22-04-2023
CS_11000274,Turvi Deo,Female,36,Sambalpur,Odisha,23-01-2025
CS_11000275,Widisha Parikh,Male,57,Gaya,Bihar,23-12-2023
CS_11000276,Aarush Gara,Male,64,Khammam,Telangana,06-11-2023
CS_11000277,Krish Nagy,Female,22,Bhopal,Madhya Pradesh,23-05-2023
CS_11000278,Samesh Sethi,Male,70,Jodhpur,Rajasthan,04-05-2023
CS_11000279,Vasana Acharya,Female,31,Bangalore,Karnataka,07-10-2023
CS_11000280,Hitesh Deshmukh,Male,51,Agra,Uttar Pradesh,19-12-2023
CS_11000281,Yashawini Choudhury,Female,23,Rajkot,Gujarat,27-04-2023
CS_11000282,Yagnesh Tandon,Male,26,Jorhat,Assam,04-02-2025
CS_11000283,Harita Rattan,Male,25,Bokaro,Jharkhand,10-04-2024
CS_11000284,Ethan Prasad,Male,31,Balasore,Odisha,21-12-2024
CS_11000285,Finn Munshi,Female,58,Salem,Tamil Nadu,20-08-2023
CS_11000286,Yasti Sha,Male,49,Thiruvananthapuram,Kerala,24-11-2023
CS_11000287,Urmi Deshmukh,Male,45,Agra,Uttar Pradesh,13-08-2023
CS_11000288,Gaurav Garde,Male,51,Nellore,Andhra Pradesh,12-08-2023
CS_11000289,Pranav Kala,Female,22,Hazaribagh,Jharkhand,05-06-2024
CS_11000290,Atharv Khosla,Female,41,Madurai,Tamil Nadu,12-12-2023
CS_11000291,Irya Upadhyay,Female,64,Dibrugarh,Assam,23-04-2023
CS_11000292,Jagdish Kashyap,Male,60,Tezpur,Assam,23-10-2024
CS_11000293,Megha Chand,Male,33,Ludhiana,Punjab,29-11-2023
CS_11000294,Nitesh Rama,Male,66,Bathinda,Punjab,31-10-2024
CS_11000295,Yashvi Mukherjee,Female,18,Karimnagar,Telangana,03-03-2024
CS_11000296,Pushti Suresh,Male,31,Bhilai,Chhattisgarh,30-10-2023
CS_11000297,Dev Mahal,Male,55,Nashik,Maharashtra,19-01-2024
CS_11000298,Advika Dutta,Female,56,Bangalore,Karnataka,16-09-2023
CS_11000299,Nitara Kalita,Female,63,Nagpur,Maharashtra,12-01-2024
CS_11000300,Odika Tank,Male,42,Guntur,Andhra Pradesh,26-05-2024
CS_11000301,Nicholas Korpal,Female,31,Pune,Maharashtra,07-05-2024
CS_11000302,Indrajit Doshi,Male,49,Patna,Bihar,01-04-2024
CS_11000303,Yutika Modi,Male,65,Kota,Rajasthan,05-09-2024
CS_11000304,Udarsh Atwal,Female,70,Gurgaon,Haryana,10-03-2024
CS_11000305,Raksha Goswami,Male,26,Dhanbad,Jharkhand,13-06-2024
CS_11000306,Zashil Bhandari,Male,45,Korba,Chhattisgarh,27-04-2023
CS_11000307,Kabir Lad,Male,26,Karnal,Haryana,12-07-2023
CS_11000308,Dayamai Iyer,Male,39,Durg,Chhattisgarh,17-12-2024
CS_11000309,Harish Dar,Male,49,Jaipur,Rajasthan,18-03-2023
CS_11000310,Jeevika Nayak,Male,63,Salem,Tamil Nadu,23-06-2024
CS_11000311,Girish Sha,Male,31,Jamshedpur,Jharkhand,10-04-2023
CS_11000312,Anita Banerjee,Female,68,Ambala,Haryana,26-06-2024
CS_11000313,Max Chana,Male,20,Bangalore,Karnataka,12-06-2024
CS_11000314,Laban Pradhan,Male,70,Durg,Chhattisgarh,25-05-2023
CS_11000315,Veer Ranganathan,Female,58,Karimnagar,Telangana,23-10-2023
CS_11000316,Rayaan Raman,Female,53,Faridabad,Haryana,11-01-2025
CS_11000317,Anusha Vasa,Female,37,Guwahati,Assam,11-10-2024
CS_11000318,Veer Jaggi,Female,22,Aurangabad,Maharashtra,01-11-2024
CS_11000319,Ijaya Char,Male,28,Nellore,Andhra Pradesh,14-02-2024
CS_11000320,Lakshit Raval,Male,70,Gaya,Bihar,09-01-2025
CS_11000321,Timothy Choudhary,Male,52,Belgaum,Karnataka,24-09-2024
CS_11000322,Urishilla Ben,Male,51,Dhanbad,Jharkhand,08-06-2024
CS_11000323,Neelima Nadig,Male,31,Varanasi,Uttar Pradesh,20-10-2024
CS_11000324,Brijesh Sekhon,Female,65,Kanpur,Uttar Pradesh,15-11-2023
CS_11000325,Vasudha Gera,Male,45,Mangalore,Karnataka,15-12-2024
CS_11000326,Daniel Varughese,Male,23,Jalandhar,Punjab,06-10-2023
CS_11000327,Dayita Kant,Female,41,Silchar,Assam,09-04-2024
CS_11000328,Balhaar Dua,Male,30,Bhavnagar,Gujarat,17-12-2023
CS_11000329,Osha Narang,Male,62,Ambala,Haryana,17-10-2024
CS_11000330,Girish Maharaj,Female,57,Gurgaon,Haryana,29-03-2024
CS_11000331,Bishakha Garde,Female,62,Bilaspur,Chhattisgarh,20-04-2023
CS_11000332,Wahab Hans,Female,37,Guntur,Andhra Pradesh,27-11-2024
CS_11000333,Wriddhish Kant,Male,33,Muzaffarpur,Bihar,07-01-2024
CS_11000334,Chatura Vig,Female,48,Cuttack,Odisha,18-05-2023
CS_11000335,Gautami Borah,Male,39,Panipat,Haryana,29-11-2023
CS_11000336,Alexander Sarna,Female,29,Jorhat,Assam,24-07-2023
CS_11000337,Dhriti Chad,Male,61,Madurai,Tamil Nadu,20-06-2023
CS_11000338,Mekhala Parekh,Female,48,Aurangabad,Maharashtra,15-03-2023
CS_11000339,Anirudh Murty,Female,22,Salem,Tamil Nadu,01-12-2024
CS_11000340,Saksham Khare,Female,18,Tezpur,Assam,03-07-2023
CS_11000341,Fariq Rana,Male,66,Pune,Maharashtra,10-05-2024
CS_11000342,Kala Nagarajan,Female,42,Kollam,Kerala,17-07-2023
CS_11000343,Jasmit Chada,Male,34,Udaipur,Rajasthan,19-07-2023
